name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
K2-314 d,Confirmed,0.03203,0.00761,0.00774,,,,0.3515,0.0116,0.0116,35.747,0.005,0.005,0.22,0.04,0.02,0.15,0.11,0.21,,,,,2020,2021-12-01,181.0,61.0,81.0,,,,,,,2458008.652,0.003,0.003,,,,,,,0.25,0.17,0.23,,,,1.97,0.47,0.54,752.0,37.0,69.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,EPIC 249893012 d,,EPIC 249893012,228.25,-16.724722243,11.4,,,,,324.7,4.2,4.2,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,G8 1V/V,9.0,0.6,0.6,5430.0,85.0,85.0,,,
K2-31 Ab,Confirmed,1.774,0.079,0.079,,,,1.06,0.35,0.35,1.25785,2e-06,2e-06,0.022,0.0018,0.0018,0.0,,,79.9,0.8,0.8,,2016,2024-08-01,,,,,,,2457191.70889,0.00024,0.00024,2457191.70889,0.00024,0.00024,,,,,,,0.975,0.075,0.075,,,,350.9,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-31 b, EPIC 204129699.01, WISE J162145.75-233253.2 b, EPIC 204129699 b, TYC 6794-00471-1 b, 2MASS J16214578-2332520 b",,K2-31 A,245.440837515,-23.547866689,10.8,,9.318,8.942,8.866,110.527,0.712,0.72,0.15,0.1,0.1,0.922,0.0829,0.1444,1.029,0.0557,0.0577,G7V,,,,5340.0,111.149,83.547,,,"EPIC 204129699, TYC 6794-471-1, 2MASS 16214578-2332520"
K2-321 b,Confirmed,7.8,,,,,,0.174,0.011,0.009,2.298,0.001,0.001,0.041,0.0048,0.0035,,,,88.94,1.12,0.73,,2020,2025-08-04,,,,,,,2457909.17,,,,,,,,,,,,0.28,0.19,0.24,,,,,,,701.0,30.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,Astrometry,,"2MASS J10253725+0230516 b, EPIC 248480671 b, TIC 277833995 b, WISE J102537.29+023050.5 b",,K2-321,156.405273,2.514349,,,10.462,9.796,,77.86,0.32,0.32,,,,0.6,0.03,0.03,0.58,0.02,0.02,,,,,3855.0,65.0,65.0,,,"2MASS J10253725+0230516, EPIC 248480671, TIC 277833995, WISE J102537.29+023050.5"
K2-329 Ab,Confirmed,0.26,0.022,0.022,,,,0.774,0.026,0.026,12.4551225,3.1e-06,3.1e-06,0.1016,0.0019,0.0019,0.0697,0.04,0.04,89.22,0.1,0.1,,2020,2024-08-04,161.0,30.0,22.0,,,,,,,2457773.15727,7.5e-05,7.5e-05,,,,,,,0.364,0.048,0.039,,,,24.6,1.8,1.8,650.0,70.0,53.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 246193072 b, EPIC 246193072 Ab, EPIC 246193072.01",,K2-329 A,351.133333344,-5.164166681,12.7,,11.17,10.8,10.67,230.4,3.0,3.0,0.098,0.07,0.065,0.901,0.049,0.049,0.822,0.026,0.026,G8V,1.8,1.3,2.2,5282.0,40.0,40.0,,,"EPIC 246193072, EPIC 246193072 A"
K2-32 Ab,Confirmed,0.047,0.0057,0.0057,,,,0.443,0.024,0.029,8.991828,8.4e-05,8.3e-05,0.08035,0.00089,0.00089,0.03,0.001,0.002,89.0,0.5,0.5,,2016,2024-08-01,220.0,161.0,77.0,,,,2456900.92713,0.00034,0.00035,2456900.92676,0.00031,0.00031,,,,,,,0.15,0.1,0.16,,,,5.22,0.6,0.6,837.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 b, WISE J164942.25-193234.6 b, EPIC 205071984 Ab, TIC 437444661 b, EPIC 205071984 b, EPIC 205071984.01, 2MASS J16494226-1932340 b",,K2-32 A,252.426086,-19.542822,12.31,,10.404,9.993,9.821,158.39,1.3,1.3,0.0,0.04,0.04,0.86,0.03,0.03,0.84,0.04,0.04,G9/K0V,,,,5315.0,60.0,60.0,,,"EPIC 205071984, WISE J164942.25-193234.6, EPIC 205071984 AA, TIC 437444661A, 2MASS J16494226-1932340A"
K2-32 Ac,Confirmed,0.0255,0.0076,0.0076,,,,0.244,0.014,0.018,20.66186,0.00098,0.00102,0.1399,0.0016,0.0016,0.049,0.005,0.005,89.4,0.3,0.3,,2016,2024-08-01,168.0,110.0,110.0,,,,2456899.4227,0.0021,0.0021,2456899.42344,0.0017,0.0017,,,,,,,0.28,0.08,0.1,,,,2.15,0.65,0.65,634.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 c, WISE J164942.25-193234.6 c, EPIC 205071984 c, EPIC 205071984 Ac, EPIC 205071984.03 c, TIC 437444661 c, 2MASS J16494226-1932340 c",,K2-32 A,252.426086,-19.542822,12.31,,10.404,9.993,9.821,158.39,1.3,1.3,0.0,0.04,0.04,0.86,0.03,0.03,0.84,0.04,0.04,G9/K0V,,,,5315.0,60.0,60.0,,,"EPIC 205071984, WISE J164942.25-193234.6, EPIC 205071984 AA, TIC 437444661A, 2MASS J16494226-1932340A"
K2-32 Ad,Confirmed,0.0211,0.0079,0.0079,,,,0.292,0.017,0.021,31.7142,0.001,0.0011,0.1862,0.0021,0.0021,0.05,0.0035,0.0053,89.4,0.1,0.1,,2016,2024-08-01,185.0,105.0,105.0,,,,2456903.7913,0.0017,0.0014,2456903.78707,0.0012,0.0012,,,,,,,0.463,0.03,0.057,,,,1.53,0.58,0.58,550.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 d, WISE J164942.25-193234.6 d, EPIC 205071984 Ad, TIC 437444661 d, EPIC 205071984 d, EPIC 205071984.02, 2MASS J16494226-1932340 d",,K2-32 A,252.426086,-19.542822,12.31,,10.404,9.993,9.821,158.39,1.3,1.3,0.0,0.04,0.04,0.86,0.03,0.03,0.84,0.04,0.04,G9/K0V,,,,5315.0,60.0,60.0,,,"EPIC 205071984, WISE J164942.25-193234.6, EPIC 205071984 AA, TIC 437444661A, 2MASS J16494226-1932340A"
K2-32 Ae,Confirmed,0.0066,0.0041,0.0041,,,,0.09,0.008,0.009,4.34882,0.00075,0.00069,0.04951,0.00055,0.00055,0.043,0.03,0.048,89.0,0.7,0.7,,2019,2024-08-01,205.0,134.0,106.0,,,,2456898.886,0.0079,0.0085,2456898.97863,0.004,0.004,,,,,,,0.22,0.16,0.16,,,,0.92,0.51,0.57,1066.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 205071984.04, K2-32 e, TIC 437444661 e, EPIC 205071984 Ae, EPIC 205071984 e, 2MASS J16494226-1932340 e, WISE J164942.25-193234.6 e",,K2-32 A,252.426086,-19.542822,12.31,,10.404,9.993,9.821,158.39,1.3,1.3,0.0,0.04,0.04,0.86,0.03,0.03,0.84,0.04,0.04,G9/K0V,,,,5315.0,60.0,60.0,,,"EPIC 205071984, WISE J164942.25-193234.6, EPIC 205071984 AA, TIC 437444661A, 2MASS J16494226-1932340A"
K2-33 b,Confirmed,3.7,3.69999,0.0,,,,0.45,0.033,0.03,5.424865,3.1e-05,3.5e-05,0.0409,0.0023,0.0023,0.0,,,89.1,1.1,0.6,,2016,2025-02-13,0.0,,,,,,2456898.69288,0.0012,0.00118,2456898.69288,0.0012,0.0012,,,,,,,0.16,0.11,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 205117205 b, 2MASS J16101473-1919095 b, EPIC 205117205.01, WISE J161014.73-191909.6 b",,K2-33,242.561401,-19.319273,16.0,,11.095,10.332,,139.8,1.52,1.52,,,,0.56,0.09,0.09,1.05,0.07,0.07,M3.3,0.009,-0.001,0.001,3540.0,70.0,70.0,,,"EPIC 205117205, 2MASS J16101473-1919095, WISE J161014.73-191909.6"
K2-34 b,Confirmed,1.78,0.13,0.13,1.76,0.13,0.13,1.245,0.029,0.029,2.995633,8e-06,8e-06,0.0426,0.0005,0.0005,0.0,,,82.06,0.51,0.51,,2016,2021-02-05,,,,,,,2457144.34683,0.0001,0.0001,2457141.35132,0.00022,0.00022,,,,,,,0.81,0.01,0.01,,,,209.0,12.0,12.0,1559.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08301891+2214092 b, EPIC 212110888 b, EPIC 212110888.01, TYC 1391-121-1 b, WISE J083018.89+221409.2 b",,K2-34,127.578773,22.235909,11.5,,10.528,10.258,,352.34,6.25,6.25,0.03,0.05,0.05,1.15,0.04,0.04,1.44,0.03,0.03,F9 V,,,,6071.0,90.0,90.0,,,"2MASS J08301891+2214092, EPIC 212110888, TYC 1391-121-1, WISE J083018.89+221409.2"
K2-360 b,Confirmed,0.02413,0.00236,0.00236,,,,0.13962,0.0071,0.0071,0.87724,4e-05,4e-05,0.0177,0.0003,0.0003,,,,78.2,0.7,0.7,,2018,2024-11-11,,,,,,,,,,2459750.04429,0.00157,0.00157,,,,,,,0.814,0.024,0.024,,,,,,,2038.0,39.0,39.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,EPIC 201595106	b,,K2-360,183.72033333333334,1.9682722222222222,11.8,10.262,10.588,,10.218,232.1,2.646,2.706,0.018,0.034,0.034,1.018,0.1169,0.1356,0.99,0.0484,0.04382,G3V,,,,5711.17,85.2871,129.087,,,EPIC 201595106
K2-365 b,Confirmed,0.02722,0.01721,0.01721,,,,0.25926,0.0157,0.0174,23.448172,0.000996,0.000766,0.1503,,,,,,,,,,2022,2024-05-28,,,,,,,,,,2456898.8326,0.0013,0.0019,,,,,,,0.328,0.157,0.157,,,,2.2,1.5,1.5,710.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"EPIC 204750116 b, EPIC 204750116.01",,K2-365,238.81975,-21.026877777777777,11.37,,10.109,9.724,9.623,187.222,1.481,1.481,-0.021,0.235,0.235,0.982,0.135,0.135,1.057,0.058,0.058,G5V,,,,5568.0,255.0,255.0,,,"EPIC 204750116, TYC 6199-1529-1"
K2-366 b,Confirmed,0.01995,0.01152,0.01152,,,,0.21046,0.0149,0.01668,15.937039,0.00114,0.000796,0.1207,0.0141,0.0134,,,,,,,,2022,2024-05-28,,,,,,,,,,2456906.4351,0.0032,0.0028,,,,,,,0.718,0.093,0.073,,,,1.83,1.15,1.15,770.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 205111664 b,,K2-366,243.68008333333333,-19.346594444444445,12.49,,10.488,9.979,9.58,185.947,5.035,5.318,-0.216,0.235,0.235,0.825,0.255,0.366,0.94,0.058,0.065,G4V,,,,5601.0,138.0,138.0,,,EPIC 205111664
K2-367 b,Confirmed,0.02036,0.01265,0.01265,,,,0.21528,0.01749,0.02007,20.645099,0.001375,0.000995,,,,,,,,,,,2022,2025-01-30,,,,,,,,,,2456997.3941,0.0014,0.002,,,,,,,0.83,0.063,0.052,,,,1.82,1.22,1.22,450.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 206055981 b,,K2-367,337.858875,-13.264630555555556,13.803,,11.666,11.087,10.957,176.965,0.936,0.946,-0.351,0.235,0.235,0.756,0.347,0.231,0.625,0.046,0.041,K6V,,,,4348.0,128.0,128.0,,,EPIC 206055981
K2-369 b,Confirmed,0.0069,0.0041,0.0041,,,,0.11714,0.00848,0.00901,5.761612,0.00071,0.00085,0.0586,0.0074,0.0068,,,,,,,,2022,2024-05-28,,,,,,,,,,2456979.8716,0.0053,0.0052,,,,,,,0.727,0.102,0.076,,,,0.96,0.62,0.62,1080.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-369,329.72608333333335,-10.875072222222222,11.79,,10.357,9.98,9.934,185.55,1.798,1.833,-0.234,0.235,0.235,0.735,0.224,0.334,0.881,0.049,0.054,G3V,,,,5682.0,138.0,138.0,,,"EPIC 206146957, TYC 5805-703-1"
K2-36 Bb,Confirmed,0.01227,0.00346,0.00346,,,,0.128,0.007,0.007,1.422614,3.8e-05,3.8e-05,0.0223,0.0004,0.0004,0.0,,,84.45,,,,2016,2024-08-01,,,,,,,2456810.8916,0.0013,0.0013,2456809.4684,0.0017,0.0017,,,,,,,0.66,0.09,0.06,,,,2.6,0.7,0.7,1224.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 b, WISE J111747.76+035159.2 b, EPIC 201713348.02, TYC 266-622-1 b, 2MASS J11174778+0351590 b",,K2-36 B,169.449066,3.866393,11.8,,10.034,9.549,,109.749,0.612,0.612,-0.047,0.038,0.038,0.769,0.0897,0.0897,0.754,0.045,0.045,K3V,1.4,-0.5,0.4,4772.39,104.68,104.68,,,"EPIC 201713348, TYC 266-622-1, WISE J111747.76+035159.2, GRV 832 B, 2MASS J11174778+0351590a"
K2-36 Bc,Confirmed,0.02454,0.00724,0.00724,,,,0.2783,0.0196,0.0196,5.3410507,2.57e-05,2.57e-05,0.054,0.001,0.001,0.0,,,86.917,0.0056,0.0066,,2016,2024-08-01,,,,,,,2456812.84001,0.00071,0.00071,2456812.8422,0.0008,0.0008,,,,,,,0.9345,0.0039,0.0039,,,,3.4,1.0,1.0,788.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 c, WISE J111747.76+035159.2 c, EPIC 201713348.0, TYC 266-622-1 c, 2MASS J11174778+0351590 c",,K2-36 B,169.449066,3.866393,11.8,,10.034,9.549,,109.749,0.612,0.612,-0.047,0.038,0.038,0.769,0.0897,0.0897,0.754,0.045,0.045,K3V,1.4,-0.5,0.4,4772.39,104.68,104.68,,,"EPIC 201713348, TYC 266-622-1, WISE J111747.76+035159.2, GRV 832 B, 2MASS J11174778+0351590a"
K2-370 b,Confirmed,0.0349,0.0044,0.0044,,,,0.2248,0.0054,0.0054,2.1408091,1.2e-06,1.2e-06,0.0321,0.0004,0.0004,0.31,0.06,0.04,,,,,2022,2024-10-12,85.0,13.0,13.0,2457860.705,0.039,0.039,,,,2457860.71862,0.00042,0.00042,,,,,,,0.23,0.16,0.2,,,,5.9,0.7,0.7,1420.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 284521 b, EPIC 210797580 b",,K2-370,67.82066666666667,19.831805555555555,11.11,,9.667,9.247,9.24,144.2,1.18,1.18,0.018,0.235,0.235,0.984,0.303,0.428,0.971,0.065,0.057,G7V,,,,5377.0,138.0,138.0,,,"HD 284521, EPIC 210797580"
K2-371 b,Confirmed,4.71,,,,,,1.16,0.0775,0.0822,3.114905,6e-06,6e-06,0.0297,0.0002,0.0002,,,,,,,,2022,2024-05-28,,,,,,,,,,2457141.417,0.0001,0.0001,,,,,,,0.666,0.006,0.006,,,,700.0,,,1000.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"TOI-515 b, TOI-515.01",,K2-371,128.067125,11.630719444444445,14.64,,12.974,12.494,12.39,442.813,6.8,6.8,-0.107,0.235,0.235,0.958,0.298,0.44,0.736,0.49,0.052,K0V,,,,4925.0,138.0,138.0,,,"EPIC 211399359, TOI-515"
K2-372 b,Confirmed,0.0289,0.0169,0.0169,,,,0.26274,0.00669,0.00687,9.844077,0.000575,0.000565,0.0857,0.0035,0.0033,,,,,,,,2022,2024-05-28,,,,,,,,,,2457146.3287,0.0015,0.0019,,,,,,,0.337,0.152,0.103,,,,3.07,1.8,1.8,870.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-372,130.79883333333333,13.009591666666667,13.6,,12.302,11.918,11.87,463.88,5.41,5.41,-0.064,0.025,0.025,0.847,0.088,0.101,0.922,0.018,0.018,G5V,,,,5479.0,27.0,27.0,,,EPIC 211490999
K2-373 b,Confirmed,0.0162,0.00897,0.00897,,,,0.18387,0.0125,0.01311,11.02066,0.00137,0.00143,0.1087,0.012,0.0128,,,,,,,,2022,2024-05-28,,,,,,,,,,2457150.2894,0.0043,0.0042,,,,,,,0.666,0.123,0.086,,,,1.34,0.81,0.81,1130.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"BD+14deg 1851 b, EPIC 211539054	b, TYC 806-1475-1 b",,K2-373,123.136125,13.688461111111112,10.47,,9.486,9.242,9.163,229.567,2.095,2.095,0.01,0.006,0.006,1.099,0.141,0.141,1.53,0.08,0.08,G0IV,,,,5980.0,137.0,137.0,,,"EPIC 211539054, TYC 806-1475-1, BD+14 1851"
K2-374 b,Confirmed,0.01139,0.00588,0.00588,,,,0.14212,0.00517,0.00544,4.521953,0.00041,0.00032,0.0494,0.00153,0.00153,,,,,,,,2022,2024-05-28,,,,,,,,,,2458099.6869,0.0032,0.004,,,,,,,0.235,0.153,0.139,,,,1.72,0.9,0.9,1210.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-374,137.3795,16.355833333333333,12.8,,11.64,11.34,11.28,359.439,5.218,5.218,-0.3,0.013,0.013,1.04,0.129,0.129,0.929,0.0529,0.0529,G2V,,,,5786.0,141.0,141.0,,,EPIC 211732116
K2-374 c,Confirmed,0.01797,0.01095,0.01095,,,,0.19743,0.00767,0.00812,16.43445,0.002702,0.002378,0.117,0.004,0.004,,,,,,,,2022,2024-05-28,,,,,,,,,,2458109.2376,0.0056,0.0065,,,,,,,0.235,0.153,0.139,,,,1.77,1.08,1.08,790.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-374,137.3795,16.355833333333333,12.8,,11.64,11.34,11.28,359.439,5.218,5.218,-0.3,0.013,0.013,1.04,0.129,0.129,0.929,0.0529,0.0529,G2V,,,,5786.0,141.0,141.0,,,EPIC 211732116
K2-375 b,Confirmed,0.01834,0.0106,0.0106,,,,0.20011,0.01552,0.01659,14.453895,0.004175,0.004773,0.1206,0.01388,0.0156,,,,,,,,2022,2025-09-04,,,,,,,,,,14.453895,0.004175,0.004773,,,,,,,0.284,0.19,0.214,,,,1.42,0.89,0.89,1000.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-375,130.50133333333332,20.3593,13.04,,11.9,,11.56,696.1,21.51,21.51,-0.054,0.074,0.074,1.05,0.132,0.132,1.548,0.0856,0.0856,G1IV,,,,5826.0,118.0,118.0,,,"EPIC 212006318, Cl* NGC 2632 KW 436"
K2-376 Ab,Confirmed,0.0129,0.00743,0.00743,,,,0.15488,0.01062,0.01115,5.776475,0.000237,0.000261,0.0608,0.0064,0.00688,,,,,,,,2022,2025-09-04,,,,,,,,,,2458096.7426,0.0022,0.0025,,,,,,,0.854,0.048,0.039,,,,1.56,0.98,0.98,1240.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-376 A,132.71933333333334,25.038083333333333,10.42,,9.33,9.065,9.0,161.61,1.321,1.321,-0.176,0.235,0.235,1.124,0.145,0.145,1.133,0.152,0.152,F9/G0V,,,,6044.0,126.0,126.0,,,"EPIC 212222383, TYC 1946-1381-1"
K2-377 b,Confirmed,0.01237,0.006,0.107,,,,0.15104,0.01178,0.01303,12.832235,0.00161,0.00155,0.0975,0.0107,0.00823,,,,,,,,2022,2024-05-28,,,,,,,,,,2457230.1429,0.005,0.0052,,,,,,,0.262,0.181,0.209,,,,1.22,0.79,0.79,530.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-377,202.897875,12.09511388888889,14.05,,11.74,11.15,11.0,195.149,1.406,1.425,-0.008,0.235,0.235,0.674,0.082,0.082,0.698,0.0634,0.0634,K7V,,,,4314.0,128.0,128.0,,,EPIC 212530118
K2-378 b,Confirmed,0.02838,0.01737,0.01737,,,,0.2569,0.0205,0.0241,2.060438,7.4e-05,1.18,0.0442,0.0054,0.0037,,,,,,,,2022,2024-05-28,,,,,,,,,,2457217.8493,0.0034,0.0018,,,,,,,0.402,0.247,0.208,,,,4.78,3.18,3.18,1130.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-378,205.15966666666668,-11.117233333333333,15.79,,13.96,13.44,13.39,687.973,18.851,19.924,-0.206,0.235,0.235,0.923,0.291,0.425,0.732,0.052,0.058,K2V,,,,4823.0,138.0,138.0,,,EPIC 212575828
K2-379 b,Confirmed,0.01759,0.01048,0.01048,,,,0.19458,0.01766,0.03238,8.777247,0.000611,0.000625,0.1256,0.034,0.012,,,,,,,,2022,2024-05-28,,,,,,,,,,2457303.9091,0.0027,0.0039,,,,,,,0.481,0.293,0.334,,,,1.92,1.24,1.24,680.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-379,283.03175,-27.18072777777778,13.21,,11.15,10.66,10.51,182.207,1.336,1.355,-0.045,0.235,0.235,0.856,0.265,0.375,0.751,0.052,0.056,K5V,,,,4603.0,138.0,138.0,,,EPIC 214173069
K2-380 Ab,Confirmed,0.02504,0.0145,0.0145,,,,0.24347,0.0157,0.01659,9.401312,0.0005,0.00047,0.0953,0.00683,0.00734,,,,,,,,2022,2025-09-04,,,,,,,,,,2457302.9354,,,,,,,,,0.883,0.03,0.024,,,,2.42,1.52,1.52,1110.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-380 A,283.434625,-26.538730555555556,,,10.12,9.8,9.68,249.303,2.875,2.941,-0.049,0.235,0.235,0.993,0.302,0.416,1.32,0.072,0.078,G0IV-V,,,,5911.0,138.0,138.0,,,EPIC 214419545
K2-382 b,Confirmed,0.0162,0.01016,0.01016,,,,0.18485,0.01187,0.01356,,,,0.1577,0.0187,0.0119,,,,,,,,2022,2024-05-28,,,,,,,,,,2457314.3647,,,,,,,,,0.346,0.213,0.197,,,,1.25,0.84,0.84,610.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-382,287.4125416666667,-19.626933333333334,12.98,,11.48,11.11,11.05,278.412,3.886,3.995,-0.027,0.235,0.235,0.922,0.284,0.401,0.811,0.047,0.053,G6V,,,,5452.0,138.0,138.0,,,EPIC 217977895
K2-383 b,Confirmed,0.01026,0.00522,0.00522,,,,0.13953,0.00946,0.01053,1.865962,6.8e-05,8.5e-05,0.0307,0.0029,0.0029,,,,,,,,2022,2024-05-28,,,,,,,,,,2457302.0928,,,,,,,,,0.268,0.183,0.211,,,,1.63,0.92,0.92,1270.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-383,282.00875,-18.379580555555556,12.68,,10.99,10.6,10.46,203.788,2.349,2.404,0.187,0.235,0.235,1.061,0.327,0.459,0.804,0.051,0.055,K0V,,,,5129.0,138.0,138.0,,,EPIC 218668602
K2-385 b,Confirmed,0.0101,0.00563,0.00563,,,,0.1373,0.01124,0.01294,2.380867,0.000216,0.000161,0.03596,0.00448,0.0033,,,,,,,,2022,2024-05-28,,,,,,,,,,2457393.4544,0.0038,0.0049,,,,,,,0.361,0.236,0.213,,,,1.61,0.99,0.99,1100.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-385,12.614083333333333,5.871255555555556,14.64,,12.82,12.28,12.24,420.819,6.873,7.102,-0.224,0.235,0.235,0.927,0.286,0.412,0.761,0.052,0.057,K2V,,,,4844.0,138.0,138.0,,,EPIC 220459477
K2-386 Ab,Confirmed,0.01954,0.01152,0.01152,,,,0.207,0.00598,0.00633,7.473223,0.000312,0.000374,0.07255,0.00227,0.0026,,,,,,,,2022,2025-09-04,,,,,,,,,,2457395.904,0.0025,0.0024,,,,,,,0.246,0.154,0.124,,,,2.16,1.28,1.28,1010.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-386 A,18.3,7.013030555555556,13.166,,11.86,11.6,11.52,428.785,7.885,8.18,,,,0.911,0.083,0.088,0.97,0.022,0.023,G2V,,,,5749.0,22.0,22.0,,,EPIC 220510874
K2-387 b,Confirmed,0.14303,0.09968,0.09968,,,,0.65323,0.02355,0.02391,28.735327,0.000994,0.000992,0.1523,0.0044,0.0044,,,,,,,,2022,2024-05-28,,,,,,,,,,2457401.9787,0.0011,0.0011,,,,,,,0.711,0.034,0.03,,,,13.8,9.65,9.65,310.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-387,19.44183333333333,11.368491666666667,16.22,,13.15,12.44,12.28,266.318,3.722,3.722,0.126,0.235,0.235,0.57,0.048,0.051,0.585,0.018,0.018,M0V,,,,3572.0,138.0,138.0,,,EPIC 220696233
K2-388 b,Confirmed,0.0412,0.0263,0.0263,,,,0.3265,0.02043,0.0294,6.339069,0.000186,0.000225,0.0633,0.00133,0.00832,,,,,,,,2022,2024-05-28,,,,,,,,,,2460226.787328,0.0777312,0.0777312,,,,,,,0.388,0.248,0.301,,,,5.08,3.48,3.48,970.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-388,352.71391666666665,-11.077355555555556,12.82,,11.4,10.99,10.93,290.495,4.184,4.305,0.124,0.235,0.235,0.842,0.259,0.376,0.897,0.053,0.058,G7V,,,,5367.0,138.0,138.0,,,EPIC 245943455
K2-389 b,Confirmed,0.01778,0.0104,0.0104,,,,0.19484,0.01017,0.01053,8.584043,0.002026,0.000888,0.0762,0.0094,0.01,,,,,,,,2022,2024-05-28,,,,,,,,,,2457742.782,,,,,,,,,0.399,0.243,0.178,,,,2.04,1.3,1.3,1050.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-389,355.6304166666667,-9.713580555555556,11.71,,10.51,10.23,10.18,259.208,2.885,2.95,-0.034,0.235,0.235,0.802,0.246,0.357,1.084,0.061,0.067,G2V,,,,5782.0,138.0,138.0,,,"EPIC 245991048, TYC 5830-96-1"
